Data	HoraInicial	HoraFinal	Tempototal	TempoEspera	Turno	TInt	URInt	EntInt	TExt	URExt	EntExt	TRInicial	TRFinal	NumAves	Morte	NumMort	LogitMort	TotalAves	Distancia	TempoViagem
26/10/2006	12:47:00	13:41:00	00:54:00	03:13:00	tarde	23.1	100	71	34.7	35	76	38.2	37.0	7	0.374	15	-0.2237	4011	27	23
26/10/2006	12:44:00	14:25:00	01:41:00	03:51:00	tarde	23.3	100	71	33.1	39	75	38.7	38.2	7	0.159	6	-0.7234	3774	15	13
26/10/2006	12:42:00	13:18:00	00:36:00	02:52:00	tarde	23.2	100	71	34.6	35	76	39.9	39.4	7	0.441	18	-0.1030	4082	15	13
26/10/2006	12:37:00	14:11:00	01:34:00	03:33:00	tarde	23.2	100	71	33.7	37	75	38.8	36.7	7	0.265	10	-0.4430	3774	168	144
26/10/2006	12:51:00	14:33:00	01:42:00	03:59:00	tarde	23.3	100	71	32.8	40	75	39.1	38.1	7	0.156	8	-0.7332	5128	15	13
26/10/2006	12:52:00	15:25:00	02:33:00	04:30:00	tarde	23.2	100	71	32.3	41	74	38.8	38.9	7	0.093	4	-0.9891	4301	15	13
26/10/2006	12:58:00	16:10:00	03:12:00	04:49:00	tarde	23.1	100	71	31.7	42	74	39.3	38.9	7	0.235	8	-0.5126	3404	168	144
26/10/2006	12:31:00	15:50:00	03:19:00	04:06:00	tarde	23.1	100	71	32.4	40	74	39.8	38.1	7	0.559	22	0.1030	3936	27	23
26/10/2006	13:48:00	17:45:00	03:57:00	04:40:00	tarde	22.7	100	70	29.7	46	71	40.1	39.6	7	0.235	10	-0.5126	4255	168	144
26/10/2006	13:56:00	17:33:00	03:37:00	04:09:00	tarde	22.7	100	70	29.9	45	71	40.1	38.7	7	0.784	28	0.5599	3571	27	23
26/10/2006	13:51:00	17:05:00	03:14:00	03:48:00	tarde	22.8	100	70	30.3	44	72	39.8	38.1	7	0.235	8	-0.5126	3404	15	13
26/10/2006	14:22:00	18:00:00	03:38:00	04:22:00	tarde	22.5	100	70	29.3	47	71	39.3	39.2	7	0.132	6	-0.8179	4545	168	144
26/10/2006	14:35:00	17:50:00	03:15:00	04:30:00	tarde	22.4	100	69	29.4	46	71	40.0	39.6	7	0.265	12	-0.4430	4528	15	13
26/10/2006	15:40:00	17:40:00	02:00:00	03:48:00	tarde	22.1	100	69	28.6	47	70	39.4	38.3	7	0.218	7	-0.5548	3211	168	144
26/10/2006	16:00:00	17:40:00	01:40:00	03:53:00	tarde	22.1	100	69	28.4	48	70	39.7	39.4	7	0.062	2	-1.1798	3226	15	13
26/10/2006	16:00:00	17:55:00	01:55:00	04:18:00	tarde	22.2	100	69	28.1	49	69	39.5	38.6	7	0.124	4	-0.8491	3226	15	13
26/10/2006	17:15:00	17:45:00	00:30:00	03:26:00	tarde	21.9	100	68	26.5	55	68	39.5	39.2	7	0.313	10	-0.3414	3195	15	13
09/11/2006	11:30:00	14:07:00	02:37:00	03:59:00	tarde	22.5	100	70	32.1	39	73	40.3	37.7	7	0.592	22	0.1612	3718	182	156
09/11/2006	11:30:00	13:05:00	01:35:00	04:35:00	tarde	22.5	100	70	32.9	37	74	39.0	37.8	8	0.335	15	-0.2982	4480	182	156
09/11/2006	11:37:00	14:50:00	03:13:00	04:01:00	tarde	22.5	100	70	32.8	38	74	39.6	37.2	7	0.218	8	-0.5548	3670	182	156
09/11/2006	11:40:00	13:40:00	02:00:00	03:28:00	tarde	22.5	100	70	32.7	38	74	39.2	36.5	8	0.300	11	-0.3689	3672	182	156
09/11/2006	11:45:00	12:17:00	00:32:00	03:11:00	tarde	22.5	100	70	33.8	35	75	39.1	37.9	8	0.260	13	-0.4539	4997	182	156
09/11/2006	11:47:00	12:32:00	00:45:00	04:02:00	tarde	22.5	100	70	33.3	36	75	38.7	37.9	8	0.412	18	-0.1545	4369	182	156
09/11/2006	12:03:00	15:18:00	03:15:00	03:37:00	tarde	22.5	100	70	32.8	37	74	38.9	35.9	7	0.224	8	-0.5394	3570	140	120
09/11/2006	12:41:00	16:36:00	03:55:00	04:03:00	tarde	22.5	100	70	31.3	39	72	39.9	36.2	7	0.125	5	-0.8466	4012	140	120
09/11/2006	12:43:00	17:00:00	04:17:00	04:28:00	tarde	22.5	100	70	31.0	40	72	39.7	37.2	7	0.517	18	0.0301	3479	182	156
09/11/2006	12:49:00	16:58:00	04:09:00	04:50:00	tarde	22.5	100	70	31.0	40	72	39.6	38.8	7	0.118	4	-0.8754	3402	140	120
09/11/2006	13:08:00	17:05:00	03:57:00	05:01:00	tarde	22.5	100	70	30.7	41	72	39.9	38.6	6	0.636	22	0.2433	3456	496	425
09/11/2006	13:50:00	17:10:00	03:20:00	04:48:00	tarde	22.5	100	70	30.6	42	72	40.0	38.1	6	0.069	3	-1.1309	4355	140	120
09/11/2006	15:30:00	17:00:00	01:30:00	03:40:00	tarde	22.5	100	70	28.5	44	69	40.7	38.6	6	0.399	14	-0.1773	3506	140	120
09/11/2006	15:35:00	16:56:00	01:21:00	04:00:00	tarde	22.5	100	70	28.5	43	68	40.2	38.0	6	0.436	16	-0.1118	3670	140	120
09/11/2006	16:22:00	17:10:00	00:48:00	03:37:00	tarde	22.5	100	70	28.5	50	70	40.1	39.8	6	0.073	5	-1.1066	6891	140	120
18/01/2007	12:00:00	12:55:00	00:55:00	01:20:00	tarde	24	100	73	23.4	82	68	38.6	39.0	6	0.206	6	-0.5866	2916	106	91
